dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
0.9633333333333334	9906	blue+skies_20068097.html	3426	all+the+things+you+are_20045668.html
1.0	37126	i+saw+three+ships_20985550.html	37124	i+saw+three+ships_20674431.html
0.96	35719	i+dont+need+no+doctor_20726222.html	35717	i+dont+need+no+doctor_20185553.html
1.0	52828	mona+lisas+and+mad+hatters_20762537.html	21163	dreamboat+annie_10141155.html
0.8833333333333333	15257	come+get+it_20046570.html	15165	come+and+get+it_20170502.html
1.0	36457	i+know+im+losing+you_20584121.html	36456	i+know+im+losing+you_20575641.html
0.8733333333333333	82852	white+christmas_20077740.html	82847	white+christmas_20004967.html
0.8966666666666666	15257	come+get+it_20046570.html	15166	come+and+get+it_20170514.html
0.87	9212	black+is+the+color+of+my+true+loves+hair_20808206.html	9211	black+is+the+color+of+my+true+loves+hair_20100553.html
0.8966666666666666	33054	highwayman_20811350.html	33053	highwayman_20713257.html
0.88	33054	highwayman_20811350.html	33052	highwayman_20212662.html
0.8566666666666667	948	a+fool+such+as+i_20820015.html	946	a+fool+such+as+i_10104893.html
0.9633333333333334	57877	on+the+street+where+you+live_20283971.html	57875	on+the+street+where+you+live_20064395.html
0.9733333333333334	77475	three+boats+down+from+the+candy_20088923.html	77474	three+boats+down+from+the+candy_20053777.html
0.8633333333333333	43310	jumping+jack+flash_20630780.html	43304	jumpin+jack+flash_20525118.html
0.88	2124	after+all_20107398.html	2121	after+all_10061527.html
1.0	58296	one+nation+under+a+groove_20815200.html	58295	one+nation+under+a+groove+part+1_20281645.html
0.94	43310	jumping+jack+flash_20630780.html	43303	jumpin+jack+flash_10243432.html
0.94	3486	all+things+must+pass_20238479.html	3485	all+things+must+pass_20059010.html
1.0	2733	all+about+love_20236730.html	2732	all+about+love+first+impressions_20962332.html
0.9033333333333333	17738	daydream+believer_20807142.html	17737	daydream+believer_20095485.html
0.93	67382	silent+night_20680156.html	67380	silent+night_20580268.html
1.0	41690	its+all+over+now_20117157.html	41689	its+all+over+now_20052405.html
1.0	31183	have+yourself+a+merry+little+christmas_20529227.html	31158	have+yourself+a+merry+christmas_21052123.html
0.9333333333333333	31183	have+yourself+a+merry+little+christmas_20529227.html	31159	have+yourself+a+merry+litlle+christmas_20726965.html
0.8833333333333333	76591	the+web_20088922.html	76590	the+web_20053776.html
1.0	69072	something+new_20264755.html	69071	something+new_20131445.html
0.94	31183	have+yourself+a+merry+little+christmas_20529227.html	31174	have+yourself+a+merry+little+christmas_20144693.html
0.8533333333333334	24136	fantines+death+come+to+me_20606961.html	15424	come+to+me+fantines+death_20571307.html
0.94	64945	sanctuary_20773551.html	64938	sanctuary+the+whole+song_20649021.html
0.94	31183	have+yourself+a+merry+little+christmas_20529227.html	31173	have+yourself+a+merry+little+christmas_20139592.html
0.94	26999	games+without+frontiers_20622751.html	26998	games+without+frontiers_20107496.html
1.0	19848	dont+believe+a+word_20509341.html	19847	dont+believe+a+word_20136622.html
0.85	31183	have+yourself+a+merry+little+christmas_20529227.html	31169	have+yourself+a+merry+little+christmas_20077734.html
0.9833333333333333	31118	have+you+ever+been+in+love_20363373.html	31116	have+you+ever+been+in+love_20107390.html
0.9133333333333333	41716	its+alright_10110271.html	41710	its+alright+babys+coming+back_20925915.html
0.9166666666666666	33346	hold+on+tight_20598021.html	33345	hold+on+tight_20045470.html
0.8633333333333333	31182	have+yourself+a+merry+little+christmas_20492005.html	31167	have+yourself+a+merry+little+christmas_20045744.html
0.85	85249	your+song_20643048.html	85247	your+song_10127388.html
0.8766666666666667	56541	not+guilty_20059104.html	56540	not+guilty_10025718.html
0.93	31182	have+yourself+a+merry+little+christmas_20492005.html	31166	have+yourself+a+merry+little+christmas_20032137.html
0.9466666666666667	46421	let+your+love+come+down_20131252.html	46420	let+your+love+come+down_20082694.html
0.9033333333333333	83745	without+you_20997898.html	83731	without+you_20088523.html
0.97	23290	everything+she+wants_20146063.html	23289	everything+she+wants_10130110.html
0.9333333333333333	85249	your+song_20643048.html	85248	your+song_20046480.html
1.0	54123	my+funny+valentine_20666262.html	54119	my+funny+valentine_20267280.html
0.9833333333333333	21791	east+of+the+sun_20817461.html	21789	east+of+the+sun+and+west+of+the+moon_20821180.html
0.86	13920	chevrolet_20167673.html	13919	chevrolet_20149294.html
0.8866666666666667	48787	louise_20362843.html	48784	louise_20066377.html
